timestamp	mentee_current	mentee_current_summary	mentee_then	mentor_then	discipline	mentee_gender	mentor_gender	country	mentee_minority	mentor_minority	experience_with_mentor	mentor_seen_by_colleagues	mentor_num_trainees	mentor_mentee_meeting_time	mentee_experience_was_common	mentee_experience_was_common_summary	mentee_influence_on_project	mentor_awareness_on_shortcomings	mentor_awareness_on_shortcomings_summary	mentor_awareness_on_strengths	mentor_awareness_on_strengths_summary	mentor_asking_feedback	mentor_has_ever_asked_feedback	mentor_makes_easy_mentees_to_raise_concerns	mentor_makes_easy_mentees_to_raise_concerns_summary	code_of_conduct
5/10/2021 22:39:49	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Japan	Yes	No	4	Considered good	10-15	Less than an hour a week	4	Common to most	3	3	Neutral	3	Neutral	Never	No	2	Made it difficult	No
5/10/2021 22:45:36	Assistant Prof	Academic (Non-ECR)	Postdoc	Associate Prof	Life Sciences	Woman	Woman	United States	No	No	2	Considered good	<5	More than two hours a week	3		3	5	Not Aware	3	Neutral	Never	No	2	Made it difficult	No
5/10/2021 22:53:35	Other	Non-Academic	Postdoc	Assistant Prof	Life Sciences	Man	Woman	Japan	Yes	Yes	1	Not considered good	5-10	About an hour a week	5	Common to most	2	5	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/10/2021 22:58:01	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	United States	No	Yes	4	Considered good	>15	Less than an hour a week	5	Common to most	4	3	Neutral	2	Aware	Never	No	3	Neutral	No
5/10/2021 23:01:20	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United States	No	No	4	Considered good	5-10	Less than an hour a week	1	Specific to few	3	4	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/10/2021 23:01:49	Assistant Prof	Academic (Non-ECR)	Grad student	Associate Prof	Applied Sciences	Woman	Woman	United States	No	No	3	Not considered good	<5	Less than an hour a week	4	Common to most	4	2	Aware	3	Neutral	Never	No	2	Made it difficult	No
5/10/2021 23:03:12	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	Yes	4	Considered good	<5	About an hour a week	3		5	3	Neutral	2	Aware	Never	No	4	Made it easy	No
5/10/2021 23:22:00	Assistant Prof	Academic (Non-ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	5	Considered good	10-15	About an hour a week	2	Specific to few	2	4	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/10/2021 23:27:18	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	United States	No	No	3	Considered good	10-15	Less than an hour a week	5	Common to most	4	5	Not Aware	2	Aware	Never	No	2	Made it difficult	No
5/10/2021 23:28:31	Grad student	Academic (ECR)	Grad student	Full Prof	Applied Sciences	Woman	Woman	Canada	Yes	No	4	Considered good	<5	Less than an hour a week	4	Common to most	4	4	Not Aware	2	Aware	Never	No	2	Made it difficult	Yes
5/10/2021 23:38:42	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	5-10	Less than an hour a week	4	Common to most	5	3	Neutral	3	Neutral	Never	No	3	Neutral	No
5/10/2021 23:38:43	Postdoc	Academic (ECR)	Postdoc	Associate Prof	Life Sciences	Woman	Prefer not to say	United States	No	No	2	Considered good	<5	Less than an hour a week	4	Common to most	1	4	Not Aware	3	Neutral	Never	No	2	Made it difficult	No
5/10/2021 23:39:22	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	2	Considered good	<5	About an hour a week	3		5	5	Not Aware	2	Aware	Never	No	1	Made it difficult	No
5/10/2021 23:41:42	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Applied Sciences	Man	Man	United States	No	No	4	Considered good	>15	Less than an hour a week	3		5	3	Neutral	1	Aware	Once every few years	Yes	2	Made it difficult	No
5/10/2021 23:45:33	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Woman	Man	United States	No	No	3	Considered good	<5	More than two hours a week	1	Specific to few	4	4	Not Aware	4	Not Aware	Never	No	2	Made it difficult	No
5/10/2021 23:48:16	Postdoc	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Man	Woman	United States	Yes	Yes	5	Considered good	<5	Less than an hour a week	5	Common to most	5	2	Aware	1	Aware	Frequently	Yes	5	Made it easy	Yes
5/10/2021 23:56:05	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United States	Yes	Yes	2	No comment	5-10	Less than an hour a week	5	Common to most	3	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/10/2021 23:58:12	Assistant Prof	Academic (Non-ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	10-15	Less than an hour a week	3		4	3	Neutral	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 0:03:27	working in industry	Non-Academic	Grad student	Assistant Prof	Life Sciences	Man	Man	United States	No	Yes	2	Considered good	5-10	More than two hours a week	4	Common to most	5	3	Neutral	5	Not Aware	Never	No	2	Made it difficult	No
5/11/2021 0:06:34	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	2	Considered good	5-10	About an hour a week	5	Common to most	3	4	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 0:15:04	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	The Netherlands	No	No	4	Considered good	>15	About two hours a week	3		4	2	Aware	5	Not Aware	Never	No	4	Made it easy	No
5/11/2021 0:18:21	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Woman	Man	United States	Yes	No	5	Considered good	<5	About an hour a week	5	Common to most	4	3	Neutral	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 0:23:29	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	Germany	No	No	3	Considered good	5-10	Less than an hour a week	1	Specific to few	3	4	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 0:40:23	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Slovenia	No	No	5	Considered good	10-15	About an hour a week	5	Common to most	5	3	Neutral	2	Aware	Once every few years	Yes	5	Made it easy	No
5/11/2021 0:58:36	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Switzerland	No	No	4	Considered good	10-15	About an hour a week	1	Specific to few	5	2	Aware	2	Aware	Every year	Yes	5	Made it easy	No
5/11/2021 0:59:09	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Canada	No	No	2	Considered good	>15	Less than an hour a week	5	Common to most	2	5	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 10:00:22	Grad student	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Woman	Woman	United States	No	No	5	Considered good	5-10	About two hours a week	4	Common to most	5	1	Aware	2	Aware	Every year	Yes	4	Made it easy	Yes
5/11/2021 10:03:40	Non-ECR academic	Academic (Non-ECR)	Assistant Prof	Full Prof	Physical Sciences	Man	Man	United States	Yes	No	3	Considered good	10-15	Less than an hour a week	3		5	2	Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 10:08:00	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Woman	The Netherlands	No	No	4	Considered good	>15	Less than an hour a week	4	Common to most	4	3	Neutral	2	Aware	Every year	Yes	3	Neutral	No
5/11/2021 10:21:31	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	5	Considered good	5-10	About an hour a week	5	Common to most	3	3	Neutral	3	Neutral	Every year	Yes	4	Made it easy	No
5/11/2021 10:30:12	Postdoc	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	5-10	About an hour a week	5	Common to most	3	3	Neutral	4	Not Aware	Once every few years	Yes	3	Neutral	No
5/11/2021 10:30:42	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Woman	United States	No	No	4	Considered good	>15	About an hour a week	3		4	4	Not Aware	2	Aware	Never	No	4	Made it easy	Yes
5/11/2021 10:31:22	Non-ECR academic	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United States	No	No	1	Not considered good	<5	Less than an hour a week	1	Specific to few	1	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/11/2021 10:33:03	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	Yes	Yes	1	Considered good	<5	Less than an hour a week	4	Common to most	3	5	Not Aware	2	Aware	Never	No	1	Made it difficult	No
5/11/2021 10:38:05	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	5-10	About an hour a week	3		4	2	Aware	2	Aware	Once every few years	Yes	3	Neutral	Yes
5/11/2021 10:41:26	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Applied Sciences	Woman	Woman	United States	No	No	4	Considered good	5-10	About an hour a week	2	Specific to few	4	5	Not Aware	3	Neutral	Never	No	2	Made it difficult	No
5/11/2021 10:57:56	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	Germany	No	No	3	Considered good	>15	Less than an hour a week	5	Common to most	5	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/11/2021 11:03:41	Postdoc	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Man	Man	Norway	Yes	No	5	Considered good	<5	More than two hours a week	4	Common to most	5	3	Neutral	2	Aware	Frequently	Yes	5	Made it easy	No
5/11/2021 11:06:50	Postdoc	Academic (ECR)	Postdoc	Associate Prof	Life Sciences	Man	Man	United Kingdom	Yes	No	4	Considered good	5-10	About an hour a week	5	Common to most	3	3	Neutral	3	Neutral	Every year	Yes	3	Neutral	No
5/11/2021 11:14:25	Grad student	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Woman	Man	United States	Yes	No	4	Considered good	10-15	About an hour a week	5	Common to most	5	4	Not Aware	4	Not Aware	Every year	Yes	5	Made it easy	No
5/11/2021 11:19:22	Postdoc	Academic (ECR)	Grad student	Full Prof	Social Sciences	Queer / Non-conforming	Woman	The Netherlands	No	No	5	Not considered good	10-15	About an hour a week	4	Common to most	5	2	Aware	4	Not Aware	Every six months	Yes	3	Neutral	No
5/11/2021 11:22:05	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Social Sciences	Queer / Non-conforming	Man	Germany	No	No	1	No comment	<5	More than two hours a week	3		1	5	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 11:31:08	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	5	Considered good	<5	Less than an hour a week	4	Common to most	4	2	Aware	2	Aware	Once every few years	Yes	2	Made it difficult	No
5/11/2021 11:44:43	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	The Netherlands	No	No	4	Considered good	5-10	About an hour a week	5	Common to most	3	4	Not Aware	3	Neutral	Never	No	4	Made it easy	Yes
5/11/2021 11:53:25	Assistant Prof	Academic (Non-ECR)	Grad student	Associate Prof	Physical Sciences	Queer / Non-conforming	Woman	United States	No	No	3	Considered good	5-10	About an hour a week	4	Common to most	3	5	Not Aware	2	Aware	Never	No	1	Made it difficult	Yes
5/11/2021 11:56:49	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United States	No	No	5	Considered good	>15	Less than an hour a week	5	Common to most	5	1	Aware	3	Neutral	Every year	Yes	4	Made it easy	No
5/11/2021 12:03:26	working in industry	Non-Academic	Grad student	Associate Prof	Life Sciences	Woman	Man	France	No	No	3	Not considered good	<5	About two hours a week	4	Common to most	2	4	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 12:05:05	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	3	Considered good	>15	Less than an hour a week	1	Specific to few	2	5	Not Aware	5	Not Aware	Never	No	2	Made it difficult	No
5/11/2021 12:07:22	Postdoc	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Woman	Man	United States	No	No	3	Considered good	5-10	Less than an hour a week	3		4	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/11/2021 12:16:48	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	3	Considered good	>15	Less than an hour a week	1	Specific to few	5	5	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 12:23:06	Postdoc	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Man	Man	Ireland	No	Yes	1	Not considered good	<5	About an hour a week	5	Common to most	3	1	Aware	5	Not Aware	Never	No	2	Made it difficult	No
5/11/2021 12:31:48	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Woman	United States	Yes	No	5	Considered good	10-15	About an hour a week	4	Common to most	4	2	Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 12:34:59	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Life Sciences	Woman	Woman	Portugal	No	No	3	Considered good	10-15	Less than an hour a week	5	Common to most	2	5	Not Aware	3	Neutral	Every year	Yes	1	Made it difficult	No
5/11/2021 12:37:55	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	4	No comment	<5	About an hour a week	4	Common to most	4	2	Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 12:42:52	Postdoc	Academic (ECR)	Grad student	Full Prof	Physical Sciences	Man	Woman	United States	No	No	4	Considered good	<5	Less than an hour a week	4	Common to most	5	2	Aware	2	Aware	Never	No	4	Made it easy	No
5/11/2021 12:47:05	Non-ECR academic	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Woman	Man	United States	No	No	3	Considered good	>15	About an hour a week	3		3	3	Neutral	3	Neutral	Never	No	3	Neutral	No
5/11/2021 12:59:29	Assistant Prof	Academic (Non-ECR)	Grad student	Assistant Prof	Life Sciences	Man	Woman	Norway	Yes	No	4	Considered good	<5	More than two hours a week	4	Common to most	5	4	Not Aware	5	Not Aware	Every six months	Yes	4	Made it easy	Yes
5/11/2021 13:00:04	Postdoc	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Man	Man	Poland	Yes	No	4	Considered good	<5	Less than an hour a week	4	Common to most	5	4	Not Aware	1	Aware	Never	No	3	Neutral	No
5/11/2021 13:00:51	Grad student	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Man	Man	Poland	Yes	No	5	Considered good	5-10	About an hour a week	4	Common to most	4	2	Aware	1	Aware	Never	No	5	Made it easy	No
5/11/2021 13:05:11	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	Yes	No	5	Considered good	10-15	More than two hours a week	5	Common to most	4	1	Aware	1	Aware	Frequently	Yes	5	Made it easy	Yes
5/11/2021 13:06:16	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	Germany	No	No	3	Considered good	>15	Less than an hour a week	5	Common to most	1	5	Not Aware	3	Neutral	Never	No	1	Made it difficult	Yes
5/11/2021 13:09:06	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Woman	Belgium	No	No	4	Considered good	5-10	About two hours a week	4	Common to most	4	3	Neutral	3	Neutral	Every year	Yes	4	Made it easy	No
5/11/2021 13:16:52	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Life Sciences	Man	Man	United States	No	No	4	Considered good	5-10	About an hour a week	3		2	3	Neutral	4	Not Aware	Every year	Yes	3	Neutral	No
5/11/2021 13:19:19	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Man	Germany	Yes	No	5	Considered good	5-10	About two hours a week	5	Common to most	5	3	Neutral	1	Aware	Frequently	Yes	5	Made it easy	No
5/11/2021 13:31:03	Postdoc	Academic (ECR)	Postdoc	Assistant Prof	Life Sciences	Man	Man	Germany	No	No	2	Considered good	5-10	Less than an hour a week	3		4	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/11/2021 13:33:03	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	Yes	Yes	2	Considered good	5-10	Less than an hour a week	2	Specific to few	1	5	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 13:51:30	Assistant Prof	Academic (Non-ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	5	Not considered good	<5	About two hours a week	5	Common to most	3	2	Aware	3	Neutral	Never	No	4	Made it easy	No
5/11/2021 13:56:14	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	No	No	3	Considered good	5-10	Less than an hour a week	5	Common to most	2	2	Aware	2	Aware	Never	No	1	Made it difficult	Yes
5/11/2021 13:56:58	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Woman	Woman	United Kingdom	Yes	No	5	Considered good	5-10	About an hour a week	4	Common to most	4	3	Neutral	2	Aware	Once every few years	Yes	2	Made it difficult	No
5/11/2021 14:01:30	Other	Non-Academic	Postdoc	Associate Prof	Life Sciences	Woman	Man	United States	No	Yes	5	Considered good	<5	About an hour a week	5	Common to most	4	2	Aware	3	Neutral	Never	No	4	Made it easy	No
5/11/2021 14:38:35	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Woman	Germany	Yes	No	3	Considered good	5-10	Less than an hour a week	5	Common to most	4	2	Aware	3	Neutral	Once every few years	Yes	2	Made it difficult	No
5/11/2021 14:41:12	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Australia	No	No	3	Considered good	5-10	Less than an hour a week	5	Common to most	4	4	Not Aware	3	Neutral	Never	No	1	Made it difficult	Yes
5/11/2021 14:51:41	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	United States	No	No	4	Considered good	>15	Less than an hour a week	4	Common to most	4	3	Neutral	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 14:58:51	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	No	No	2	Considered good	<5	About an hour a week	5	Common to most	4	5	Not Aware	3	Neutral	Once every few years	Yes	1	Made it difficult	No
5/11/2021 15:10:34	Postdoc	Academic (ECR)	Grad student	Associate Prof	Life Sciences	Woman	Man	Finland	No	No	5	Considered good	<5	About two hours a week	5	Common to most	5	2	Aware	2	Aware	Never	No	4	Made it easy	No
5/11/2021 15:18:13	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Woman	Germany	No	No	2	Considered good	10-15	Less than an hour a week	4	Common to most	3	3	Neutral	1	Aware	Once every few years	Yes	2	Made it difficult	No
5/11/2021 15:24:14	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United Kingdom	No	No	4	Considered good	<5	About an hour a week	5	Common to most	3	4	Not Aware	2	Aware	Never	No	3	Neutral	No
5/11/2021 15:24:33	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	2	Considered good	>15	Less than an hour a week	3		5	5	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 15:53:09	Other	Non-Academic	Postdoc	Assistant Prof	Life Sciences	Woman	Man	Finland	No	No	1	Considered good	<5	More than two hours a week	2	Specific to few	1	5	Not Aware	3	Neutral	Never	No	2	Made it difficult	No
5/11/2021 15:58:29	Assistant Prof	Academic (Non-ECR)	Postdoc	Associate Prof	Life Sciences	Woman	Man	Saudi Arabia	No	No	4	Considered good	5-10	About an hour a week	1	Specific to few	3	5	Not Aware	3	Neutral	Never	No	4	Made it easy	No
5/11/2021 15:59:36	Postdoc	Academic (ECR)	Postdoc	Associate Prof	Life Sciences	Man	Man	Germany	No	No	4	Considered good	10-15	About two hours a week	1	Specific to few	4	1	Aware	5	Not Aware	Every year	Yes	5	Made it easy	No
5/11/2021 16:09:08	Assistant Prof	Academic (Non-ECR)	Grad student	Full Prof	Life Sciences	Man	Man	Canada	No	No	5	Considered good	5-10	Less than an hour a week	5	Common to most	5	4	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 16:22:21	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Physical Sciences	Woman	Man	United States	No	No	4	Considered good	5-10	Less than an hour a week	4	Common to most	4	5	Not Aware	4	Not Aware	Never	No	1	Made it difficult	Yes
5/11/2021 16:28:19	working in industry	Non-Academic	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	4	Considered good	10-15	About an hour a week	3		3	3	Neutral	2	Aware	Once every few years	Yes	2	Made it difficult	No
5/11/2021 16:33:30	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	Turkey	No	No	3	Considered good	>15	Less than an hour a week	2	Specific to few	2	4	Not Aware	2	Aware	Never	No	4	Made it easy	No
5/11/2021 17:13:37	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Woman	Sweden	No	No	3	Considered good	5-10	About an hour a week	4	Common to most	2	4	Not Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 17:41:35	Assistant Prof	Academic (Non-ECR)	Grad student	Assistant Prof	Life Sciences	Woman	Man	France	No	Yes	1	Considered good	<5	Less than an hour a week	2	Specific to few	3	5	Not Aware	1	Aware	Never	No	1	Made it difficult	No
5/11/2021 17:44:51	Assistant Prof	Academic (Non-ECR)	Grad student	Assistant Prof	Life Sciences	Woman	Man	United States	No	Yes	1	Considered good	>15	Less than an hour a week	5	Common to most	2	5	Not Aware	3	Neutral	Never	No	1	Made it difficult	No
5/11/2021 18:03:42	Grad student	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Woman	United States	Yes	No	4	Considered good	>15	About two hours a week	3		5	4	Not Aware	2	Aware	Never	No	4	Made it easy	No
5/11/2021 18:29:11	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	United States	No	No	4	Considered good	<5	Less than an hour a week	2	Specific to few	5	1	Aware	1	Aware	Once every few years	Yes	3	Neutral	No
5/11/2021 19:00:36	Assistant Prof	Academic (Non-ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	United States	No	No	4	Considered good	10-15	Less than an hour a week	4	Common to most	5	4	Not Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 19:06:34	Grad student	Academic (ECR)	Grad student	Assistant Prof	Life Sciences	Queer / Non-conforming	Man	United States	Yes	No	5	Considered good	5-10	About an hour a week	4	Common to most	4	3	Neutral	2	Aware	Never	No	4	Made it easy	Yes
5/11/2021 1:01:07	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	Belgium	No	No	4	Considered good	<5	More than two hours a week	3		4	2	Aware	2	Aware	Never	No	2	Made it difficult	No
5/11/2021 1:05:26	Assistant Prof	Academic (Non-ECR)	Assistant Prof	Full Prof	Life Sciences	Woman	Man	Mexico	No	No	2	Not considered good	10-15	Less than an hour a week	2	Specific to few	5	3	Neutral	3	Neutral	Never	No	3	Neutral	No
5/11/2021 1:06:25	Postdoc	Academic (ECR)	Grad student	Full Prof	Applied Sciences	Woman	Man	Ireland	No	No	5	Considered good	<5	About an hour a week	5	Common to most	5	2	Aware	2	Aware	Every year	Yes	4	Made it easy	Yes
5/11/2021 1:22:31	Postdoc	Academic (ECR)	Assistant Prof	Full Prof	Life Sciences	Man	Man	Switzerland	No	No	3	Considered good	5-10	About an hour a week	3		4	4	Not Aware	3	Neutral	Never	No	5	Made it easy	Yes
5/11/2021 1:23:16	Postdoc	Academic (ECR)	Postdoc	Full Prof	Life Sciences	Man	Man	Germany	Yes	No	4	Considered good	10-15	Less than an hour a week	4	Common to most	5	3	Neutral	3	Neutral	Never	No	2	Made it difficult	No
5/11/2021 1:26:54	Postdoc	Academic (ECR)	Grad student	Assistant Prof	Applied Sciences	Woman	Man	Germany	No	No	4	Considered good	5-10	Less than an hour a week	2	Specific to few	4	5	Not Aware	5	Not Aware	Never	No	3	Neutral	No
5/11/2021 1:40:37	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Man	Man	United States	No	No	3	Considered good	<5	Less than an hour a week	1	Specific to few	4	5	Not Aware	5	Not Aware	Never	No	1	Made it difficult	No
5/11/2021 1:42:01	Postdoc	Academic (ECR)	Grad student	Full Prof	Life Sciences	Woman	Man	France	Yes	No	5	Considered good	<5	About two hours a week	5	Common to most	5	3	Neutral	1	Aware	Never	No	5	Made it easy	No
